Jon Skeet;53;1047863
BalusC;53;818687
Darin Dimitrov;53;814505
VonC;53;800368
Hans Passant;53;768855
Marc Gravell;53;754947
CommonsWare;53;742577
Martijn Pieters;53;669040
SLaks;53;658737
T.J. Crowder;53;648420
Greg Hewgill;53;640682
Quentin;53;618845
paxdiablo;53;608187
Alex Martelli;53;597714
dasblinkenlight;53;596099
CMS;53;568353
Mark Byers;53;563558
Ignacio Vazquez-Abrams;53;558334
marc_s;53;554126
JaredPar;53;551985
Jonathan Leffler;53;542938
Guffa;53;538569
Felix Kling;53;522815
unutbu;53;518547
Nick Craver;53;517725
Eric Lippert;53;516573
David Heffernan;53;504731
anubhava;53;502264
BoltClock;53;497083
Stephen C;53;495574
cletus;53;491096
Gumbo;53;490655
CB Bailey;53;489092
Bozho;53;469889
Pascal Thivent;53;469210
Reed Copsey;53;456687
bobince;53;431209
Peter Lawrey;53;427674
Daniel Roseman;53;426861
tvanfosson;53;414595
Oded;53;399075
Johannes Schaub - litb;53;396514
kennytm;53;390554
Konrad Rudolph;53;383184
deceze;53;379395
Jerry Coffin;53;374513
Paolo Bergantino;53;363883
Bill Karwin;53;361611
nickf;53;359545
Kerrek SB;53;351918
Pekka 웃;53;348551
Tim Schmelter;53;347969
mu is too short;53;340940
e-satis;53;338566
codaddict;53;335133
Mehrdad Afshari;53;333947
NPE;53;333738
Amber;53;333073
Jon;53;331580
Martin Smith;53;331479
skaffman;53;331228
gbn;53;330140
alex;53;329382
Pascal MARTIN;53;327224
Sven Marnach;53;323689
Ladislav Mrnka;53;320069
Quassnoi;53;319875
Remy Lebeau;53;317019
Arun P Johny;53;315662
Cascabel;53;314521
aioobe;53;312600
unwind;53;310637
S.Lott;53;308154
Marc B;53;307461
Pointy;53;306117
matt;53;304796
Joel Coehoorn;53;296963
Adam Rosenfield;53;295623
Sarfraz;53;289970
GManNickG;53;289506
Günter Zöchbauer;53;287847
karim79;53;287682
Michael Borgwardt;53;287443
Bohemian;53;284429
Mark Rajcok;53;283032
sepp2k;53;283003
rob mayoff;53;281716
Jörg W Mittag;53;281545
Bill the Lizard;53;280958
James McNellis;53;280949
Some programmer dude;53;279597
Lasse Vågsæther Karlsen;53;277939
Michael Burr;53;276249
mipadi;53;274959
a_horse_with_no_name;53;274076
Matt Ball;53;272892
polygenelubricants;53;271961
Mark Longair;53;271129
Fred Foo;53;270872
camickr;53;267974
Dirk Eddelbuettel;53;267901
sehe;53;267278
Andrew Hare;53;266774
Denys Séguret;53;265383
duffymo;53;264692
Stephen Cleary;53;263419
Alnitak;53;262175
Daniel Vassallo;53;259597
CrazyCoder;53;259437
Hovercraft Full Of Eels;53;257865
Gordon;53;256387
Matthew Rankin;53;254976
user207421;53;254518
Joey;53;253963
Andy E;53;253258
user113716;53;253005
templatetypedef;53;252552
AnT;53;251530
Niet the Dark Absol;53;250395
jfs;53;250048
Tomalak;53;249694
Daniel C. Sobral;53;249541
OMG Ponies;53;248060
Mitch Wheat;53;247819
Greg;53;246801
Ned Batchelder;53;244315
Nawaz;53;243801
Brian R. Bondy;53;243579
Tim Down;53;241045
Remus Rusanu;53;239931
Aaron Digulla;53;239158
Tim Pietzcker;53;238575
Paul Dixon;53;233110
Rory McCrossan;53;231375
ThiefMaster;53;230672
Ben Voigt;53;230260
John Kugelman;53;229947
Thomas Levesque;53;229244
Steve Jessop;53;228152
Dave DeLong;53;227377
Joachim Sauer;53;226879
Dennis Williamson;53;226683
John Feminella;53;226553
Brian Agnew;53;221685
Oliver Charlesworth;53;220997
Brian Campbell;53;220818
Sean Patrick Floyd;53;220249
Michael Berkowski;53;217466
Mark Ransom;53;216582
Sampson;53;216321
erickson;53;214977
Phrogz;53;214281
Matthew Flaschen;53;212496
Mike Seymour;53;210276
Oleg;53;208544
Dimitre Novatchev;53;206877
42-;53;205102
ghostdog74;53;204957
Henk Holterman;53;204542
Justin Niessner;53;204316
Frank van Puffelen;53;204013
manojlds;53;203919
jalf;53;202613
Frédéric Hamidi;53;201867
Jakub Narębski;53;201828
Aaron Bertrand;53;201350
Bryan Oakley;53;200878
Sotirios Delimanolis;53;200571
axtavt;53;200113
John La Rooy;53;199990
John Woo;53;199688
Blender;53;199098
Vinko Vrsalovic;53;197893
Chuck;53;197676
LukeH;53;197256
David Thomas;53;196540
poke;53;196199
Ted Hopp;53;194701
Matthieu M.;53;193884
Tomas Petricek;53;193628
Jigar Joshi;53;193363
DSM;53;192088
Rob Napier;53;191360
Martin York;53;190759
jason;53;189429
RichieHindle;53;189022
Thilo;53;188136
Cody Gray;53;186155
phihag;53;185873
Andomar;53;185550
caf;53;185543
trashgod;53;184295
Craig Ringer;53;184184
Damien_The_Unbeliever;53;184000
Justin Cave;53;183390
Taryn;53;183110
zerkms;53;182188
Ryan McGeary;53;182111
dogbane;53;181463
Sergey Berezovskiy;53;181246
